"lt_desc","year","sex","age","mx","qx","ax","lx","dx","Lx","Tx","ex"
"LT VR/Census, MEX",2010,"m",0,0.015104,0.014899,0.09,1e+05,1490,98638,7389284,73.89
"LT VR/Census, MEX",2010,"m",1,0.000678,0.002707,1.61,98510,267,393403,7290646,74.01
"LT VR/Census, MEX",2010,"m",5,0.000291,0.001455,2.5,98244,143,490860,6897243,70.21
"LT VR/Census, MEX",2010,"m",10,0.000369,0.001843,2.5,98101,181,490051,6406383,65.3
"LT VR/Census, MEX",2010,"m",15,0.001166,0.005811,2.5,97920,569,488176,5916332,60.42
"LT VR/Census, MEX",2010,"m",20,0.001538,0.00766,2.5,97351,746,484890,5428156,55.76
"LT VR/Census, MEX",2010,"m",25,0.001569,0.007817,2.5,96605,755,481137,4943267,51.17
"LT VR/Census, MEX",2010,"m",30,0.002076,0.010325,2.5,95850,990,476775,4462129,46.55
"LT VR/Census, MEX",2010,"m",35,0.002669,0.013256,2.5,94860,1257,471157,3985354,42.01
"LT VR/Census, MEX",2010,"m",40,0.003502,0.017359,2.5,93603,1625,463952,3514196,37.54
"LT VR/Census, MEX",2010,"m",45,0.005119,0.025269,2.5,91978,2324,454079,3050245,33.16
"LT VR/Census, MEX",2010,"m",50,0.007421,0.036431,2.5,89654,3266,440103,2596166,28.96
"LT VR/Census, MEX",2010,"m",55,0.010953,0.053304,2.5,86387,4605,420425,2156063,24.96
"LT VR/Census, MEX",2010,"m",60,0.015263,0.073512,2.5,81783,6012,393883,1735638,21.22
"LT VR/Census, MEX",2010,"m",65,0.023154,0.109436,2.5,75771,8292,358123,1341754,17.71
"LT VR/Census, MEX",2010,"m",70,0.029779,0.138579,2.5,67479,9351,314015,983631,14.58
"LT VR/Census, MEX",2010,"m",75,0.046725,0.209191,2.5,58127,12160,260238,669616,11.52
"LT VR/Census, MEX",2010,"m",80,0.077774,0.32557,2.5,45968,14966,192424,409378,8.91
"LT VR/Census, MEX",2010,"m",85,0.142897,1,NA,31002,31002,216953,216953,7
"LT VR/Census, MEX",2019,"m",0,0.012622,0.012477,0.08,1e+05,1248,98851,7518630,75.19
"LT VR/Census, MEX",2019,"m",1,0.000601,0.0024,1.62,98752,237,394444,7419780,75.14
"LT VR/Census, MEX",2019,"m",5,0.000221,0.001102,2.5,98515,109,492305,7025336,71.31
"LT VR/Census, MEX",2019,"m",10,0.000308,0.001541,2.5,98407,152,491654,6533031,66.39
"LT VR/Census, MEX",2019,"m",15,0.000884,0.004408,2.5,98255,433,490192,6041377,61.49
"LT VR/Census, MEX",2019,"m",20,0.001646,0.008194,2.5,97822,802,487106,5551184,56.75
"LT VR/Census, MEX",2019,"m",25,0.001787,0.008895,2.5,97020,863,482944,5064079,52.2
"LT VR/Census, MEX",2019,"m",30,0.00222,0.011038,2.5,96157,1061,478133,4581135,47.64
"LT VR/Census, MEX",2019,"m",35,0.002588,0.012856,2.5,95096,1223,472423,4103001,43.15
"LT VR/Census, MEX",2019,"m",40,0.003563,0.017657,2.5,93873,1657,465223,3630578,38.68
"LT VR/Census, MEX",2019,"m",45,0.004944,0.024418,2.5,92216,2252,455450,3165355,34.33
"LT VR/Census, MEX",2019,"m",50,0.006613,0.032526,2.5,89964,2926,442505,2709905,30.12
"LT VR/Census, MEX",2019,"m",55,0.009789,0.047774,2.5,87038,4158,424795,2267399,26.05
"LT VR/Census, MEX",2019,"m",60,0.013679,0.066135,2.5,82880,5481,400696,1842605,22.23
"LT VR/Census, MEX",2019,"m",65,0.018846,0.08999,2.5,77399,6965,369580,1441909,18.63
"LT VR/Census, MEX",2019,"m",70,0.028076,0.131173,2.5,70433,9239,329070,1072329,15.22
"LT VR/Census, MEX",2019,"m",75,0.042104,0.19047,2.5,61194,11656,276833,743259,12.15
"LT VR/Census, MEX",2019,"m",80,0.070427,0.299418,2.5,49539,14833,210612,466426,9.42
"LT VR/Census, MEX",2019,"m",85,0.135668,1,NA,34706,34706,255815,255815,7.37
"LT VR/Census, MEX",2021,"m",0,0.011526,0.011405,0.08,1e+05,1140,98946,6873388,68.73
"LT VR/Census, MEX",2021,"m",1,0.000448,0.001789,1.62,98860,177,395017,6774442,68.53
"LT VR/Census, MEX",2021,"m",5,0.000257,0.001286,2.5,98683,127,493096,6379425,64.65
"LT VR/Census, MEX",2021,"m",10,0.000323,0.001613,2.5,98556,159,492381,5886329,59.73
"LT VR/Census, MEX",2021,"m",15,0.000872,0.004348,2.5,98397,428,490914,5393947,54.82
"LT VR/Census, MEX",2021,"m",20,0.00184,0.009157,2.5,97969,897,487602,4903033,50.05
"LT VR/Census, MEX",2021,"m",25,0.002365,0.011758,2.5,97072,1141,482505,4415431,45.49
"LT VR/Census, MEX",2021,"m",30,0.003275,0.01624,2.5,95930,1558,475757,3932926,41
"LT VR/Census, MEX",2021,"m",35,0.004443,0.021972,2.5,94373,2074,466679,3457169,36.63
"LT VR/Census, MEX",2021,"m",40,0.005928,0.029205,2.5,92299,2696,454756,2990490,32.4
"LT VR/Census, MEX",2021,"m",45,0.009242,0.045168,2.5,89603,4047,437899,2535734,28.3
"LT VR/Census, MEX",2021,"m",50,0.011701,0.056841,2.5,85556,4863,415623,2097835,24.52
"LT VR/Census, MEX",2021,"m",55,0.017945,0.085873,2.5,80693,6929,386142,1682212,20.85
"LT VR/Census, MEX",2021,"m",60,0.025152,0.118322,2.5,73764,8728,346999,1296070,17.57
"LT VR/Census, MEX",2021,"m",65,0.033254,0.153507,2.5,65036,9983,300221,949071,14.59
"LT VR/Census, MEX",2021,"m",70,0.050139,0.222772,2.5,55052,12264,244602,648850,11.79
"LT VR/Census, MEX",2021,"m",75,0.068094,0.29094,2.5,42788,12449,182819,404248,9.45
"LT VR/Census, MEX",2021,"m",80,0.098724,0.395906,2.5,30339,12012,121668,221429,7.3
"LT VR/Census, MEX",2021,"m",85,0.183719,1,NA,18328,18328,99761,99761,5.44
"LT VR/Census, MEX",2010,"f",0,0.012325,0.012188,0.09,1e+05,1219,98888,7913019,79.13
"LT VR/Census, MEX",2010,"f",1,0.000511,0.002043,1.5,98781,202,394621,7814131,79.11
"LT VR/Census, MEX",2010,"f",5,0.000231,0.001155,2.5,98579,114,492612,7419510,75.26
"LT VR/Census, MEX",2010,"f",10,0.000301,0.001505,2.5,98466,148,491957,6926898,70.35
"LT VR/Census, MEX",2010,"f",15,0.000467,0.002332,2.5,98317,229,491014,6434941,65.45
"LT VR/Census, MEX",2010,"f",20,0.000528,0.002636,2.5,98088,259,489794,5943927,60.6
"LT VR/Census, MEX",2010,"f",25,0.000589,0.002939,2.5,97829,287,488429,5454134,55.75
"LT VR/Census, MEX",2010,"f",30,0.00064,0.003194,2.5,97542,312,486931,4965705,50.91
"LT VR/Census, MEX",2010,"f",35,0.000965,0.004814,2.5,97230,468,484982,4478774,46.06
"LT VR/Census, MEX",2010,"f",40,0.001635,0.008144,2.5,96762,788,481842,3993792,41.27
"LT VR/Census, MEX",2010,"f",45,0.002649,0.013155,2.5,95974,1263,476715,3511951,36.59
"LT VR/Census, MEX",2010,"f",50,0.004344,0.021489,2.5,94712,2035,468470,3035235,32.05
"LT VR/Census, MEX",2010,"f",55,0.006791,0.033388,2.5,92676,3094,455647,2566765,27.7
"LT VR/Census, MEX",2010,"f",60,0.010177,0.049624,2.5,89582,4445,436797,2111118,23.57
"LT VR/Census, MEX",2010,"f",65,0.016397,0.078757,2.5,85137,6705,408921,1674321,19.67
"LT VR/Census, MEX",2010,"f",70,0.021526,0.102135,2.5,78432,8011,372132,1265400,16.13
"LT VR/Census, MEX",2010,"f",75,0.038266,0.174623,2.5,70421,12297,321362,893268,12.68
"LT VR/Census, MEX",2010,"f",80,0.062458,0.270115,2.5,58124,15700,251369,571906,9.84
"LT VR/Census, MEX",2010,"f",85,0.132352,1,NA,42424,42424,320537,320537,7.56
"LT VR/Census, MEX",2019,"f",0,0.009807,0.00972,0.08,1e+05,972,99106,8069036,80.69
"LT VR/Census, MEX",2019,"f",1,0.000394,0.001574,1.51,99028,156,395724,7969929,80.48
"LT VR/Census, MEX",2019,"f",5,0.000217,0.001084,2.5,98872,107,494093,7574206,76.61
"LT VR/Census, MEX",2019,"f",10,0.000251,0.001256,2.5,98765,124,493515,7080113,71.69
"LT VR/Census, MEX",2019,"f",15,0.000473,0.002362,2.5,98641,233,492622,6586598,66.77
"LT VR/Census, MEX",2019,"f",20,0.000482,0.002408,2.5,98408,237,491447,6093976,61.93
"LT VR/Census, MEX",2019,"f",25,6e-04,0.002996,2.5,98171,294,490120,5602529,57.07
"LT VR/Census, MEX",2019,"f",30,0.000724,0.003615,2.5,97877,354,488500,5112409,52.23
"LT VR/Census, MEX",2019,"f",35,0.000981,0.004893,2.5,97523,477,486422,4623909,47.41
"LT VR/Census, MEX",2019,"f",40,0.001486,0.0074,2.5,97046,718,483434,4137487,42.63
"LT VR/Census, MEX",2019,"f",45,0.002056,0.010225,2.5,96328,985,479176,3654054,37.93
"LT VR/Census, MEX",2019,"f",50,0.003612,0.017899,2.5,95343,1707,472447,3174878,33.3
"LT VR/Census, MEX",2019,"f",55,0.005717,0.028183,2.5,93636,2639,461583,2702431,28.86
"LT VR/Census, MEX",2019,"f",60,0.008621,0.042196,2.5,90997,3840,445387,2240847,24.63
"LT VR/Census, MEX",2019,"f",65,0.013389,0.064776,2.5,87157,5646,421673,1795460,20.6
"LT VR/Census, MEX",2019,"f",70,0.01903,0.090827,2.5,81512,7403,389050,1373787,16.85
"LT VR/Census, MEX",2019,"f",75,0.030579,0.142038,2.5,74108,10526,344226,984737,13.29
"LT VR/Census, MEX",2019,"f",80,0.05624,0.246536,2.5,63582,15675,278722,640512,10.07
"LT VR/Census, MEX",2019,"f",85,0.132416,1,NA,47907,47907,361789,361789,7.55
"LT VR/Census, MEX",2021,"f",0,0.00881,0.008739,0.08,1e+05,874,99194,7593453,75.93
"LT VR/Census, MEX",2021,"f",1,0.000428,0.001709,1.51,99126,169,396082,7494259,75.6
"LT VR/Census, MEX",2021,"f",5,0.000224,0.00112,2.5,98957,111,494507,7098176,71.73
"LT VR/Census, MEX",2021,"f",10,0.000232,0.001161,2.5,98846,115,493943,6603670,66.81
"LT VR/Census, MEX",2021,"f",15,0.000434,0.002168,2.5,98731,214,493121,6109727,61.88
"LT VR/Census, MEX",2021,"f",20,0.000624,0.003114,2.5,98517,307,491819,5616607,57.01
"LT VR/Census, MEX",2021,"f",25,0.000892,0.004452,2.5,98210,437,489958,5124788,52.18
"LT VR/Census, MEX",2021,"f",30,0.001028,0.005127,2.5,97773,501,487612,4634830,47.4
"LT VR/Census, MEX",2021,"f",35,0.001667,0.008299,2.5,97272,807,484341,4147217,42.64
"LT VR/Census, MEX",2021,"f",40,0.002478,0.012312,2.5,96465,1188,479354,3662876,37.97
"LT VR/Census, MEX",2021,"f",45,0.004136,0.02047,2.5,95277,1950,471509,3183522,33.41
"LT VR/Census, MEX",2021,"f",50,0.00604,0.029751,2.5,93327,2777,459692,2712013,29.06
"LT VR/Census, MEX",2021,"f",55,0.010508,0.051193,2.5,90550,4636,441162,2252321,24.87
"LT VR/Census, MEX",2021,"f",60,0.014948,0.072047,2.5,85915,6190,414098,1811160,21.08
"LT VR/Census, MEX",2021,"f",65,0.021902,0.103826,2.5,79725,8277,377930,1397061,17.52
"LT VR/Census, MEX",2021,"f",70,0.032097,0.148563,2.5,71447,10614,330700,1019132,14.26
"LT VR/Census, MEX",2021,"f",75,0.047283,0.211421,2.5,60833,12861,272011,688432,11.32
"LT VR/Census, MEX",2021,"f",80,0.076135,0.319803,2.5,47971,15341,201504,416421,8.68
"LT VR/Census, MEX",2021,"f",85,0.151826,1,NA,32630,32630,214917,214917,6.59
